Ton vapor,,,,consumo agua,,,consumo GN,,
Caldera Loos,Caldera Salcor,Caldera Visa,Desgasificador,Caldera Loos,Caldera Salcor,Caldera Visa,Caldera Loos,Caldera Salcor,Caldera Visa
144.0,0.0,0.0,7.0,152.0,0.0,0.0,"10,218.0",0.0,0.0
127.0,0.0,0.0,7.0,142.0,0.0,0.0,"9,172.0",0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,0.0,8.0,97.0,0.0,0.0,"6,509.0",0.0,0.0
187.0,0.0,0.0,10.0,203.0,0.0,0.0,"13,400.0",0.0,0.0
189.0,0.0,0.0,9.0,203.0,0.0,0.0,"13,451.0",0.0,0.0
206.0,0.0,0.0,10.0,212.0,0.0,0.0,"14,648.0",0.0,0.0
226.0,0.0,0.0,14.0,238.0,0.0,0.0,"16,046.0",0.0,0.0
161.0,6.0,0.0,10.0,171.0,5.2,0.0,"11,002.0",678.0,0.0
0.0,32.0,0.0,3.0,0.0,33.4,0.0,0.0,"2,323.0",0.0
0.0,29.0,0.0,3.0,3.0,31.7,0.0,200.0,"2,231.0",0.0
179.0,1.0,0.0,13.0,188.0,1.5,0.0,"11,906.0",129.0,0.0
193.0,0.0,0.0,10.0,204.0,0.0,0.0,"12,837.0",0.0,0.0
190.0,0.0,0.0,11.0,202.0,0.0,0.0,"12,738.0",0.0,0.0
181.0,0.0,0.0,10.0,192.0,0.0,0.0,"12,337.0",42.0,0.0
168.0,0.0,0.0,11.0,179.0,0.0,0.0,"11,158.0",84.0,0.0
104.0,1.0,0.0,9.0,113.0,0.0,0.0,"6,826.0",197.0,0.0
146.0,0.0,0.0,9.0,157.0,0.0,0.0,"9,445.0",0.0,0.0
187.0,0.0,0.0,8.0,198.0,0.0,0.0,"12,403.0",3.0,0.0
200.0,0.0,0.0,11.0,212.0,0.0,0.0,"13,355.0",121.0,0.0
219.0,0.0,0.0,12.0,233.0,0.0,0.0,"14,719.0",65.0,0.0
218.0,0.0,0.0,12.0,232.0,0.0,0.0,"14,661.0",14.0,0.0
144.0,0.0,0.0,11.0,155.0,0.0,0.0,"9,750.0",80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,3.0,0.0,11.0,126.0,1.2,0.0,"7,516.0",305.0,0.0
217.0,0.0,0.0,12.0,229.0,0.6,0.0,"14,545.0",0.0,0.0
193.0,0.0,0.0,12.0,205.0,0.0,0.0,"12,942.0",0.0,0.0
210.0,0.0,0.0,21.0,220.0,0.0,0.0,"14,032.0",160.0,0.0
192.0,1.0,0.0,24.0,205.0,0.0,0.0,"12,850.0",91.0,0.0
162.0,0.0,0.0,21.0,174.0,0.0,0.0,"10,975.0",0.0,0.0
58.0,16.0,0.0,10.0,64.0,15.6,0.0,"4,002.0","1,342.0",0.0
1.0,28.0,0.0,3.0,1.0,30.3,0.0,57.0,"2,136.0",0.0
192.0,1.0,0.0,22.0,203.0,0.5,0.0,"13,525.0",87.0,0.0
264.0,2.0,0.0,26.0,277.0,2.1,0.0,"18,653.0",252.0,0.0
192.0,0.0,0.0,12.0,205.0,0.0,0.0,"13,366.0",0.0,0.0
204.0,0.0,0.0,12.0,218.0,0.3,0.0,"14,125.0",114.0,0.0
